,0,1
0,1.9e-05,7.8e-06
1,1.913e-05,9.66e-06
2,1.45e-05,6.2e-06
3,1.77e-05,7.1e-06
4,1.34e-05,4.9e-06
5,1.78e-05,9.2e-06
6,2.12e-05,6.8e-06
7,3.77e-05,1.05e-05
8,3.755e-05,1.76e-05
9,1.14e-05,5.3e-06
10,1.234e-05,7.4e-06
11,2.706e-05,7.6e-06
12,1.4e-05,6.14e-06
13,3.85e-05,9.36e-06
14,1.64e-05,7.7e-06
15,6.44e-06,4.77e-06
16,4.84e-05,1.56e-05
17,3.11e-05,1.055e-05
18,1.27e-05,6e-06
19,5.466e-05,1.9e-05
20,2.486e-05,8.76e-06
21,1.764e-05,7.1e-06
22,2.55e-05,7.03e-06
23,1.967e-05,6.5e-06
24,1.717e-05,9.3e-06
25,2.843e-05,8.7e-06
26,3.296e-05,1.067e-05
27,2e-05,7.3e-06
28,2.503e-05,8.76e-06
29,1.675e-05,4.77e-06
30,2.07e-05,9.4e-06
31,3.36e-05,1.27e-05
32,2.104e-05,5.96e-06
33,1.79e-05,7.45e-06
34,2.104e-05,8.34e-06
35,1.234e-05,4.6e-06
36,2.45e-05,7.33e-06
37,1.58e-05,5.25e-06
38,5.24e-05,1.717e-05
39,1.526e-05,7.75e-06
40,1.884e-05,6.5e-06
41,1.98e-05,6.5e-06
42,1.43e-05,4.7e-06
43,2.426e-05,7.33e-06
44,3.59e-05,1.395e-05
45,1.42e-05,7.45e-06
46,3.62e-05,1.276e-05
47,1.806e-05,6.6e-06
48,2.52e-05,1.11e-05
49,2.235e-05,7.33e-06
50,4.39e-05,2.24e-05
51,2.027e-05,8e-06
52,6.23e-05,1.61e-05
53,9.1e-06,4.9e-06
54,1.49e-05,6.7e-06
55,3.4e-05,1.42e-05
56,2.074e-05,9.9e-06
57,1.055e-05,4.77e-06
58,2.07e-05,6.4e-06
59,1.81e-05,7.33e-06
60,1.043e-05,4.5e-06
61,3.33e-05,9e-06
62,1.32e-05,4.5e-06
63,1.13e-05,5.84e-06
64,4.27e-05,1.24e-05
65,1.925e-05,7.1e-06
66,2.05e-05,8.4e-06
67,1.38e-05,6.4e-06
68,2.456e-05,8.64e-06
69,1.45e-05,7.4e-06
70,3.5e-05,9.7e-06
71,1.305e-05,5.4e-06
72,9.06e-06,5e-06
73,1.407e-05,8e-06
74,1.46e-05,5.1e-06
75,4.053e-05,1.2e-05
76,4.98e-05,1.204e-05
77,1.585e-05,5.96e-06
78,1.75e-05,6.7e-06
79,1.264e-05,5.96e-06
80,2.116e-05,8.1e-06
81,1.997e-05,8.64e-06
82,3.15e-05,1.407e-05
83,3.3e-05,1e-05
84,2.384e-05,8.94e-06
85,2.3e-05,7.75e-06
86,1.41e-05,4.95e-06
87,1.72e-05,5.5e-06
88,4.476e-05,1.3e-05
89,1.895e-05,8.1e-06
90,2.515e-05,8.76e-06
91,1.74e-05,5.9e-06
92,2.24e-05,7.33e-06
93,8.46e-06,4.23e-06
94,3.374e-05,1.06e-05
95,1.466e-05,5.84e-06
96,1.293e-05,4.65e-06
97,1.83e-05,8.1e-06
98,3.75e-05,1.18e-05
99,1.48e-05,5.9e-06
100,1.025e-05,4.95e-06
101,1.323e-05,6.74e-06
102,4.34e-05,1.645e-05
103,2.605e-05,8.1e-06
104,3.815e-05,1.37e-05
105,3.91e-05,1.52e-05
106,1.264e-05,9.9e-06
107,1.156e-05,4.95e-06
108,2.13e-05,8.94e-06
109,1.395e-05,4.7e-06
110,1.293e-05,5.25e-06
111,2.53e-05,8.76e-06
112,2.35e-05,6.85e-06
113,2.4e-05,7.6e-06
114,1.1e-05,5.5e-06
115,2.45e-05,9.2e-06
116,9e-06,4.9e-06
117,2.14e-05,6.8e-06
118,1.985e-05,6.8e-06
119,1.436e-05,5.1e-06
120,1.657e-05,5.4e-06
121,2.04e-05,7.57e-06
122,2.26e-05,8.46e-06
123,5.78e-05,1.84e-05
124,1.68e-05,6.85e-06
125,1.62e-05,4.9e-06
126,1.14e-05,4.53e-06
127,1.407e-05,5.7e-06
128,3.39e-05,1.14e-05
129,6.26e-06,3.3e-06
130,1.61e-05,5.8e-06
131,6.6e-06,3.8e-06
132,1.115e-05,4.35e-06
133,1.67e-05,6.44e-06
134,1.38e-05,4.65e-06
135,2.94e-05,7.7e-06
136,1.4e-05,9.7e-06
137,1.204e-05,5.9e-06
138,1.39e-05,4.5e-06
139,1.21e-05,6.56e-06
140,2.37e-05,7.45e-06
141,1.48e-05,7.1e-06
142,1.62e-05,8.17e-06
143,1.05e-05,4.4e-06
144,3.07e-05,1.16e-05
145,1.395e-05,5.96e-06
146,2.164e-05,9.7e-06
147,4.196e-05,1.27e-05
148,2.193e-05,6.56e-06
149,1.41e-05,4.8e-06
150,1.91e-05,7.7e-06
151,2.176e-05,1.07e-05
