# iteration,train,valid
0.000000000000000000e+00,-1.090919974795161274e+01,-1.060981235018985558e+01
1.000000000000000000e+00,-1.099546282160103061e+01,-1.064173921615020468e+01
2.000000000000000000e+00,-1.115596085535506710e+01,-1.083595879222176173e+01
3.000000000000000000e+00,-1.138448897021371131e+01,-1.105271808606302031e+01
4.000000000000000000e+00,-1.140965914052226893e+01,-1.100814122528357686e+01
5.000000000000000000e+00,-1.142537509230193571e+01,-1.103012851250392679e+01
6.000000000000000000e+00,-1.143958726468920162e+01,-1.103396209445626397e+01
7.000000000000000000e+00,-1.144284432876042956e+01,-1.103007565442272053e+01
8.000000000000000000e+00,-1.144317801957116920e+01,-1.102788870596273263e+01
9.000000000000000000e+00,-1.144319135573556245e+01,-1.102752269416036235e+01
1.000000000000000000e+01,-1.144319249579240960e+01,-1.102752063161334029e+01
1.100000000000000000e+01,-1.144319260678737216e+01,-1.102755413297674458e+01
1.200000000000000000e+01,-1.144319260853727727e+01,-1.102756183539076673e+01
1.300000000000000000e+01,-1.144319260855215425e+01,-1.102756273312107460e+01
1.400000000000000000e+01,-1.144319260855238163e+01,-1.102756286817419351e+01
1.500000000000000000e+01,-1.144319260855240650e+01,-1.102756291654472243e+01
